SMILE A,SMILE B,SMILE C,Swelling Ratio (times),Source
[*]O[C@H](C)CC([*])=O,[*]C(CCCCCO[*])=O,,1,10.1007_s10965-010-9525-y_part_2.txt_段1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,2.2,10.1007_s10570-017-1491-7_part_2.txt_段1_Material1
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]CCN[*],0.6,10.3390_ma13122750_part_2.txt_段1_Material3
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,0.2,10.1007_s10856-009-3876-0_part_1.txt_段1_Material1
[*]CC([*])Cl,,,24,10.1080_00222348.2013.764202_part_2.txt_段1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,0.56,10.1038_s41598-024-54912-1_OA_part_1.txt_段1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,,0.08,10.1016_j.ijbiomac.2016.05.028_part_3.txt_段1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]CC([*])N1CCCC1=O,,3.5025,10.1007_s00289-013-1067-0_part_4.txt_段1_Material1
[*]NC(C(O)=O)CCC([*])=O,,,6,10.1002_jbm.b.34830_part_2.txt_段1_Material1
[*]CC(C#N)[*],[*]CC(C#N)[*],,1.0244,10.1016_j.cej.2018.06.127_part_4.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],O=C(C(C[*])[*])N,,7,10.1007_s00289-018-2615-4_part_2.txt_段1_Material1
[*]NC(C(O)=O)CCC([*])=O,[*]CC(C1=CC=CC=C1)[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,13.04,10.1016_j.reactfunctpolym.2021.104864_part_1.txt_段1_Material1
