SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,来源,Swelling Ratio (times),Young's Modulus
[*]CC(C1=CC=CC=C1)[*],O=C(N)C([*])C[*],,2.886490725172482,10.1177_0307174x1704400901_part_1.txt_段1_Material2,,770.0
[*]CC(C1=CC=CC=C1)[*],O=C([*])CCCCCN[*],,6.3979400086720375,10.1007_s00396-021-04820-x_part_2.txt_段1_Material1,,2499999.9999999995
[*]CC(C1=CC=CC=C1)[*],[*]C(C)C[*],,5.286613631657004,10.1016_j.heliyon.2020.e04166_part_1.txt_段1_Material2,,193469.99999999988
[*]CC(C1=CC=CC=C1)[*],[*]C(CCCCCO[*])=O,,5.698970004336019,10.1590_0370-44672017720137_part_2.txt_段1_Material1,,500000.0
[*]CC(C1=CC=CC=C1)[*],[*]C([H])([H])C(O)([H])[*],,5.704150516839799,10.1016_j.jfoodeng.2015.06.003_part_1.txt_段1_Material3,,505999.9999999997
[*]CC(C1=CC=CC=C1)[*],[*]C/C=C/C[*],,5.260071387985075,10.3390_polym13010096_part_2.txt_段1_Material1,,182000.00000000012
[*]CC(C1=CC=CC=C1)[*],[*]CC(C1=CC=CC=C1)[*],,6.278753600952829,10.1002_app.32638_part_1.txt_段1_Material2,,1899999.9999999995
[*]CC(C1=CC=CC=C1)[*],[*]CC(CC(C#N)[*])C1=CC=CC=C1,,6.365487984890899,10.1088_2053-1591_ab38e7_part_2.txt_段1_Material1,,2319999.9999999986
[*]CC(C1=CC=CC=C1)[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,6.447158031342219,10.1002_polb.22202_part_2.txt_段1_Material2,,2800000.0000000014
[*]CC(C1=CC=CC=C1)[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,6.3979400086720375,10.1002_pc.20978_part_2.txt_段1_Material1,,2499999.9999999995
[*]CC(C1=CC=CC=C1)[*],[*]CC=CCCC(C1=CC=CC=C1)[*],,5.938919812244772,10.1177_0967391118809436_part_1.txt_段1_Material1,,868800.0000000009
[*]CC(C1=CC=CC=C1)[*],[*]CCCC(CCCCCC)[*],,5.484299839346786,10.1002_app.48748_part_3.txt_段1_Material1,,305000.00000000006
[*]CC(C1=CC=CC=C1)[*],[*]CCN[*],,7.301029995663981,10.1016_j.compstruct.2009.09.033_part_2.txt_段1_Material1,,20000000.000000004
[*]CC(C1=CC=CC=C1)[*],[*]CC[*],,5.954242509439325,10.1080_03602559.2016.1255752_part_5.txt_段1_Material2,,900000.0000000007
[*]CC(C1=CC=CC=C1)[*],[*]OCC[*],,6.6020599913279625,10.1039_c6sm00983b_part_1.txt_段1_Material1,,4000000.000000001
[*]CC(CC(C#N)[*])C1=CC=CC=C1,[*]C(CCCCC(OCCCCO[*])=O)=O,,6.301029995663981,10.1002_pen.24935_part_1.txt_段1_Material1,,2000000.0
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,COC(C(C[*])([*])C)=O,,6.380211241711606,10.1080_03602550903413979_part_1.txt_段1_Material1,,2400000.000000002
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,O=C([*])CCCCCN[*],,6.380211241711606,10.1007_s10965-010-9540-z_part_2.txt_段1_Material1,,2400000.000000002
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,[*]C(C)C[*],,5.603198520676098,10.14419_ijet.v7i3.34.19334_part_1.txt_段1_Material1,,401050.0000000004
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,[*]CC(C1=CC=CC=C1)C/C=C/C[*],,6.017033339298781,10.1002_app.47075_part_1.txt_段1_Material1,,1040000.0000000008
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,[*]CC(C1=CC=CC=C1)[*],,6.197831693328903,10.1016_j.polymer.2017.12.038_part_4.txt_段1_Material1,,1576999.999999999
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,6.171480722621874,10.1080_17452759.2016.1175045_part_2.txt_段1_Material1,,1484159.9999999988
